iter	Logloss
0	0.6876678467
1	0.6831587728
2	0.6787620714
3	0.674084337
4	0.6695515272
5	0.6650990126
6	0.6610757107
7	0.6575931803
8	0.6534407552
9	0.6492827691
10	0.645119222
11	0.6411553277
12	0.6377941895
13	0.6338932292
14	0.6298080783
15	0.6258607992
16	0.6215523275
17	0.617744005
18	0.6140910509
19	0.6110644531
20	0.6076171875
21	0.6049062771
22	0.6017006429
23	0.5982219781
24	0.5946370443
25	0.5915877279
26	0.5882614475
27	0.5849806044
28	0.5819123671
29	0.578236084
30	0.5751953125
31	0.5721756999
32	0.569015842
33	0.5664721341
34	0.5641760932
35	0.5617972141
36	0.5591974555
37	0.5563479275
38	0.5542067125
39	0.5516611735
40	0.549492391
41	0.5472680664
42	0.545348782
43	0.5428140259
44	0.5407380507
45	0.5386545817
46	0.5373684353
47	0.5349361844
48	0.5329518297
49	0.5312653944
50	0.5295181613
51	0.5276679145
52	0.5255048964
53	0.5236921522
54	0.522311537
55	0.5203530545
56	0.5184116957
57	0.5166783312
58	0.5145869276
59	0.5131748454
60	0.5110923258
61	0.50931132
62	0.507826572
63	0.5058286879
64	0.503799235
65	0.5021357897
66	0.5005959744
67	0.4989841715
68	0.497859158
69	0.4964691162
70	0.4953294542
71	0.49377516
72	0.492350803
73	0.4912153456
74	0.4896235148
75	0.4880013021
76	0.4867548286
77	0.4852516683
78	0.483843316
79	0.4827953762
80	0.4816001383
81	0.4803857761
82	0.4793236627
83	0.4780807156
84	0.4767374335
85	0.4755408393
86	0.4744255575
87	0.4731229655
88	0.4720128716
89	0.4712318251
90	0.4702560086
91	0.4693075222
92	0.4682644314
93	0.4673870171
94	0.4663587104
95	0.4651299371
96	0.4640584988
97	0.4631391059
98	0.4621712918
99	0.4614788818
100	0.4602385118
101	0.4592386882
102	0.4585706245
103	0.4579067654
104	0.4568185764
105	0.4560681831
106	0.4551295302
107	0.4543545193
108	0.4539076402
109	0.4533718533
110	0.4525174289
111	0.4518269857
112	0.4508947415
113	0.4501412625
114	0.4493685574
115	0.4485656738
116	0.4478134494
117	0.4468878852
118	0.446089681
119	0.4452955458
120	0.4446913995
121	0.4439612495
122	0.4433080037
123	0.4425349257
124	0.4417900255
125	0.4411514621
126	0.4403531901
127	0.4397000461
128	0.4388737996
129	0.4384229872
130	0.4377489556
131	0.4368929715
132	0.4358969455
133	0.4349801975
134	0.43420912
135	0.4337148709
136	0.4331458876
137	0.4323978678
138	0.4318965318
139	0.4310639106
140	0.4304854329
141	0.4296927219
142	0.4294424099
143	0.4289568753
144	0.4283614773
145	0.4277248128
146	0.4270466444
147	0.4263551839
148	0.4256928168
149	0.4247258165
150	0.4240261163
151	0.4236139594
152	0.4229625109
153	0.422364841
154	0.4218615723
155	0.4214008925
156	0.4208653768
157	0.420567627
158	0.4199168905
159	0.4193696425
160	0.4187779405
161	0.41799391
162	0.4176446533
163	0.4168993802
164	0.4163161214
165	0.4157263184
166	0.4151501804
167	0.4144730632
168	0.4139442952
169	0.4131924099
170	0.4125728353
171	0.4120220269
172	0.4112576972
173	0.4107477146
174	0.410146247
175	0.4094747586
176	0.4089085897
177	0.4086385769
178	0.4079538303
179	0.4076594713
180	0.4073217095
181	0.4066921319
182	0.4062501017
183	0.4056013997
184	0.4051905314
185	0.4046392483
186	0.4042248196
187	0.4037928263
188	0.4033324517
189	0.4028330146
190	0.4024886746
191	0.4020460002
192	0.4015045166
193	0.4010382758
194	0.4006728109
195	0.4003313192
196	0.39998742
197	0.399621955
198	0.3993623183
199	0.3988917711
200	0.3984942966
201	0.398070577
202	0.3978374566
203	0.3975903998
204	0.3971763441
205	0.3967435371
206	0.3957726712
207	0.3953978814
208	0.3949208577
209	0.3945762126
210	0.3942162408
211	0.3936778429
212	0.3933476088
213	0.3927303738
214	0.3922690158
215	0.3917985704
216	0.3913170709
217	0.3908594767
218	0.3903330485
219	0.3898880344
220	0.3894955105
221	0.389162089
222	0.3886107042
223	0.388072069
224	0.3876637777
225	0.3873894586
226	0.3869228787
227	0.3866175334
228	0.3862418959
229	0.3859801568
230	0.3855481296
231	0.3854438612
232	0.3849358453
233	0.384468689
234	0.384106174
235	0.3838005575
236	0.3833819919
237	0.3828973389
238	0.3825921292
239	0.381973131
240	0.3814493137
241	0.3811274889
242	0.3809532335
243	0.3805574205
244	0.380265096
245	0.3797336833
246	0.3792366536
247	0.3789939711
248	0.3784374322
249	0.378378635
250	0.3781954617
251	0.3780090671
252	0.3776116943
253	0.377421875
254	0.3770751275
255	0.3769306098
256	0.3764290365
257	0.3760479736
258	0.3757109239
259	0.3755543349
260	0.3751571316
261	0.374876709
262	0.3743680149
263	0.3739324273
264	0.3737066989
265	0.3732198419
266	0.372929484
267	0.3726310221
268	0.3722101847
269	0.3718679131
270	0.3715527344
271	0.3712159559
272	0.3709777154
273	0.3706766425
274	0.3703573269
275	0.3700283474
276	0.3698334418
277	0.3694939507
278	0.3692479791
279	0.368975491
280	0.3684614393
281	0.3683135986
282	0.3679406738
283	0.367808431
284	0.367408922
285	0.3668221707
286	0.3665668403
287	0.36613817
288	0.3658780585
289	0.365724962
290	0.3656487698
291	0.3653303697
292	0.3649431017
293	0.3645869276
294	0.364382765
295	0.3641980659
296	0.3637257894
297	0.3633589681
298	0.3632182142
299	0.3627695041
300	0.3625475396
301	0.3623164876
302	0.361932034
303	0.3615220812
304	0.3611445109
305	0.3607576836
306	0.3604288059
307	0.3602647569
308	0.3601041667
309	0.3599113634
310	0.3593783908
311	0.3591352336
312	0.3588465373
313	0.358540819
314	0.3583925374
315	0.3581398519
316	0.3577338664
317	0.3575533379
318	0.3573242866
319	0.3570821465
320	0.3569382053
321	0.3567540487
322	0.3565467326
323	0.3558801948
324	0.3558113946
325	0.3555111694
326	0.3553199938
327	0.3550694444
328	0.3550345527
329	0.3547016737
330	0.354346483
331	0.3539733548
332	0.3537880113
333	0.3534525553
334	0.3531964111
335	0.3527940538
336	0.3525319417
337	0.35224155
338	0.3519751316
339	0.3516967095
340	0.3511071099
341	0.3507671441
342	0.3504330783
343	0.3502029758
344	0.3499259101
345	0.3497073025
346	0.3492775811
347	0.3490522257
348	0.3487665134
349	0.3485201009
350	0.3482336426
351	0.3480563354
352	0.3478473918
353	0.3475601196
354	0.3472457208
355	0.3467677816
356	0.3465517171
357	0.3464069621
358	0.3462143283
359	0.3459124078
360	0.3457850138
361	0.3454768202
362	0.3451005046
363	0.3449444919
364	0.3445037164
365	0.3443167792
366	0.3439531793
367	0.3437286716
368	0.343320143
369	0.3430891927
370	0.3426152208
371	0.3423828803
372	0.342224528
373	0.34205641
374	0.3417789714
375	0.3412784831
376	0.3411362033
377	0.3408934191
378	0.3407375081
379	0.3404978434
380	0.3401251221
381	0.3398538547
382	0.3396620348
383	0.3392045763
384	0.3389916314
385	0.3387556966
386	0.3385921563
387	0.338309767
388	0.3381319173
389	0.3378390842
390	0.3376494683
391	0.3373642307
392	0.3372766452
393	0.3370637682
394	0.3368585883
395	0.3365515137
396	0.3363468764
397	0.3360330878
398	0.3357192993
399	0.335378418
400	0.3352164714
401	0.3348868137
402	0.3346502007
403	0.3342658827
404	0.3339344618
405	0.3336935086
406	0.3333896552
407	0.3331492784
408	0.333066881
409	0.3328486464
410	0.3325599501
411	0.3323209635
412	0.3321134779
413	0.3319325087
414	0.3314546034
415	0.3312886895
416	0.3309835476
417	0.3306611464
418	0.330555759
419	0.3301376004
420	0.3299967448
421	0.3298313056
